agyögwëh	agyö gwë h
doga’ëyös’ö:’	d o ga’ëyö s’ö:’
waeyaöga’t	wa e y a öga’t
sëh	sëh
osheda’	o shed a’
onödzot	o nödzo t
ëgaiwayëdahgök	ë ga iwayëdahg ök
ganähdo’k’ah	ga nähdo’k ’ah
honödiön	honö d iö n
honeoö’	ho neo ö’
gegëhjih	ge g ëh ji h
hagëhjigëö’	ha gëh ji gëö’
tagëhjih	ta gë h ji h
gatgëhjista’	g atgëhjist a’
dwadade’gë:’	dw adade’gë :’
johihso’	j o hihso ’
yöëdza’geh	y öëdz a’ geh
heyonödagëyat	he yo nödagëyat
sgat	s ga t
dewë’nya’eh	de w ë’nya’e h
shagöhsagädih	s ha göhsagädi h
nö’dewadëdae’	nö’ de w adëda e’
onöda’geh	o nöd a’ geh
o’jehoaganëda’t	o’je hoaganëda’t
agatähdöh	ag atähd öh
oya’ë:’	o ya’ë :’
nö’gëhödih	nö’ gë hödi h
oënö’	o ën ö’
sigwah	si gwah
ogösda’	o gösd a’
hadigaweta’	hadi gawet a’
gatgonya’shä’	ga tgonya’ shä’
agahsoöh	ag ahso öh
oägwahda’	o ägwahd a’
gayadöshä’shö’öh	ga yadö shä’ shö’öh
oshöwë’	o shöw ë’
gya’däje’s	g ya’d äje’ s
ho’gya’däje’	ho’ g ya’d äje’
dödayagwat	döda yagwa t
wat	wa t
hodiähdöje’	hodi ähd öje’
deyotaögë’	de yo taögë ’
hodiwasdeisdöh	hod iwa sdeisd öh
ësgeganya’gë’	ë s ge ganya’gë ’
onëya’köshä’	o nëya’kösh ä’
gaëhdäe’	ga ëhdä e’
wa’agwatgeönö’	wa’ agwa tgeön ö’
oäwisda’	o äwisd a’
ganä’	ga n ä’
hëgëjohgwiyoaje’	hë gë johgwiyo aje’
deyohsaihdae’	de yo hsaihda e’
waöwödiögohdë’	waöwöd iö gohd ë’
waënödiwahdëja’t	waënö d iwa hdëja’t
o’gä’teh	o’ g ä’te h
hënögweh	hën ögwe h
honösgwayë’	honö sgwa yë’
tganödayë’gowah	t ga nöda yë’ gowah
hënöyagwas	hënö yag was
wa’ögegwat	wa’ öge gwat
dagek	da g ek
gaya’da:’	ga ya’da :’
gisgwis	gisgwis
hoiwanodaje’	ho iwanod aje’
onöhi’gaa’	o nöhi’ga a’
onöhgwë’doa’	o nöhgwë’doa ’
osowa’da’	o sowa’d a’
agidëöh	ag idë öh
ësgwëdësek	ë sgwë dë sek
ha’dekedëje’	ha’ de ke dë je’
deyaoöh	de y ao öh
de’gyëtwas	de’ g yët was
agyëtwa’öh	ag yëtwa’ öh
niyot’eohdageh	ni yo t’eohdage h
gawisdanoö’	ga wisda noö ’
ënötganya’t	ë nö tganya’t
waënötganye:’	wa ënö tganye :’
wa’agyatganye:’	wa’ agy atganye :’
awëdetgäde’	a w ëdetgäd e’
ënödö’eshö:’	ë nö dö’eshö :’
ëodi’nigöiyoak	ë odi ’nigöiyo ak
gatgwa’da:’	ga tgwa’da :’
gëeh	gë e h
o’gwagahdë’	o’ gwa gahd ë’
ëjöwödë’	ë jöw öd ë’
waonöjanö’k	wa onö janö’ k
waeyë’nyo’gat	wae y ë’nyo’gat
deyesdäte’dahgwa’	de ye sdäte’dahgw a’
wa’ödëhsö:’	wa’ ö dëhsö :’
onëhsöhgwa’	o nëhsöhgw a’
gisgwisgëö’	gisgwis gëö’
ëgegweni’	ë ge gweni ’
da’agagweni’	da’ aga gweni ’
dëtgagweni’	dë t ga gweni ’
ganö’dza’	ga nö’dza ’
onönö’da’	o nönö’d a’
ëtsete’t	ë t se te’t
ohdönyö’shä’	o hdönyö’sh ä’
getahas	ge tahas
niganoö’	ni ga noö ’
deyeya’danet	de ye ya’danet
hadinönyöta’	hadi nönyöt a’
ësnyadehšönyanö:’	ë sny adehšönyanö :’
agadehsa’öh	ag adehsa’ öh
ëhsades’a’	ë hs ades’ a’
yeya’dade’	ye ya’dade ’
nitgade’	ni t ga de ’
agoägöh	ag oäg öh
nigageo’dëh	ni ga geo’dë h
niwadoshine’s	ni w adoshine ’s
wa’ögwayeih	wa’ ögwa yei h
dwatgwëë’	dw atgwë ë’
dewa’ha:’	de w a’ha :’
o’keyatga’	o’ ke y atga’
shögwatga’wëh	shögw atga’ wëh
deyotši’sgweh	de yo tši’sgwe h
hodinyodagwëh	hodi nyodag wëh
hodi’se’	hod i’se’
dasajëtoh	da s ajëto h
odaga’dahgöh	o daga’dahg öh
gaista’	ga ist a’
waënöt’ahšodaah	waënö t’ahšodaah
agegë’sähgöh	age gë’sähg öh
hadewata’	h adewat a’
hadewatha’	h adewat ha’
o’tadiyë:’	o’t adi yë :’
hegayë’	he ga yë ’
da’detgayë’	da’ de t ga yë ’
o’gya’dadat	o’ g ya’dadat
ëhsoh	ë hs oh
waënödaah	waënö daah
watgehdat	wa tgehdat
ëödigëyadë’	ë ödi gëyadë ’
ho’wënöja’dawetäh	ho’ wënö ja’dawetäh
o’tgëhsowek	o’t g ëhsowek
hodiyäje’	hodi yäje’
waë’	wa ë’
agodahöh	ag odahöh
wa’eö’	wa’ e ö’
ësejihnya’hödë’	ë seji hny a’hödë’
dewagä’negësdöh	de wag ä’negësd öh
akdadöh	ak dad öh
dzo’gäö’	dzo’gäö’
sgashe’dih	s ga she’di h
ganya’kaö’	ga nya’kaö ’
sawënihë:’	sa w ënihë :’
oënö’	o ënö’
waönishädëhda:’	wa önishädëhda :’
waöni’shä’geh	wa öni’sh ä’ geh
o’gasdaëto’	o’ ga sdaëto ’
osdägi’	o sdägi ’
otägwahgwëh	o tägwahgw ëh
gano’sgäe’	ga no’sgäe ’
sigwëön	sigwëön
hewagenyatgäöh	he wage nyatgä öh
hadeyësta’	h adeyëst a’
yödeyësta’shö’öh	yö deyëst a’ shö’öh
dogës	dogës
de’swaiwa’	de’ swa iw a’
shagoyewata’	shago yewat a’
o’gadiyök	o’ g adiyök
dösashedwanöönyö:’	dösa shedwa nöönyö :’
edwanönyö:’	e dwa nönyö :’
aknehös	akn ehös
heyonök	he yo nök
ëhsatga’	ë hs atga’
waöwënötga’	waöwënö tga’
gä’gaehgöh	g ä’gaehg öh
agashä’šönyöh	ag ashä’šönyö h
nëwögashaa’t	në wög ashaa’ t
ëöwöshaa’t	ëöwö shaa’t
hogëhdëöh	ho gëhdë öh
agö’nöh	ag ö’n öh
ësgyadatewat	ë sgy adatewat
o’gadöišök	o’ g adöišök
o’tgyeödaak	o’t g yeöd aak
hodiwayëdahgöh	hod iwayëdahg öh
dëge’nyaë’	dë ge ’nya ë’
shokdöh	s ho kd öh
onähdowanës	o nähd owanës
waotganöni’he’t	wa o tganöni’he’ t
agehse’	age hse ’
hodi’se’	hodi ’se ’
onöwëhdöh	o nöwëhd öh
hegayei’	he ga yei ’
detgyei’	det g yei ’
ojiyaih	o jiyai h
ho’gaih	ho’ ga i h
ëgëhödenyöök	ë gë hödenyö ök
oadaje’	o adaje’
wade’sgödak	w ade’sgöd ak
agadöwida’döh	ag adöwida’d öh
yötöwögahadöta’	yö töwögahadöt a’
hayok	hayok
gëhsade’	gë hsade ’
otgë’öh	o tgë’ öh
dojo’hagwe’nönih	d o jo’hagwe’nöni h
sëh	sëh
dzohgwe’eani’	dzohgwe’eani’
o’tknöhdai’	o’t k nöhdai ’
wade’go’	wa de’go ’
sayagyade’go’	sa yagy ade’go ’
hewakdakenöh	he wak daken öh
tënë’sga:’	t ënë ’sga :’
o’tëhdat	o’t ëhdat
yedake’	ye dake’
ëyedake’	ë ye dake’
ho’nigöetgëta’	ho ’nigöetgët a’
ojike’da’	o jike’d a’
owänögi’	o wänögi ’
de’shodi’nigöiyoh	de’ shodi ’nigöiyo h
o’tögot	o’t ögot
hahsönye’s	ha hsöny e’s
o’wëös	o’ w ëös
yadöh	y adö h
gësdae’	gë sda e’
o’töwödinöek	o’t öwödi nöek
waenönyani’	wae nönyani ’
wa’ögyahjök	wa’ ögy ahjök
wa’ohjöte’t	wa’ o hjöte’ t
o’jödogwat	o’jö dogwat
wagi’daswaëh	wag i’daswaë h
shagogedas	shago ged as
yegeda’ta’	ye geda’t a’
dewagahjiyos	de wag ahjiyo s
dawëëdö’	da w ëëdö ’
siwahset	s iwahset
o’tšadadegë’	o’ tš adadegë ’
ae’	ae’
aöwögë’	aöwögë’ a öwö gë ’
de’shadidoka’	de’ shadi dok a’
gadi’geah	gadi’geah
aënödëninö’	a ënö dëninö ’
shogë’dzowa:’	s ho gë’dz owa:’
hënödekönya’ta’geh	hënö dekönya’t a’ geh
o’takahsi’	o’t a kahsi ’
nö’deyagyade’	nö’ de yagy ade ’
nagwas’öweh	nagwas’öweh
waënöhsödöni’	waënö hsödöni ’
hënöwödë’	hën öwöd ë’
waënötšisdayë:’	waënö tšisdayë :’
ökdogës	ök dogës
o’wënöwöyë:’	o’ w ënöwöyë :’
tëni’jö’	t ën i’jö ’
hëgöwëni’jö’	hë göwën i’jö ’
onyo’gwa’	o nyo’gw a’
niwashëh	niwashëh
ga’niköshä’	ga ’nikösh ä’
odëönoshägöh	o dëönosh ägöh
gai’doö’	ga i’doö ’
akyagahiyö’	ak yagahiyö ’
ganigëöshä’	ga nigëösh ä’
okda’	o kd a’
ohdahgwa’	o hdahgw a’
waöwö’no’yak	waöwö ’no’yak
hënödëninösgowah	hënö dëninö s gowah
niwak’ah	ni w ak’ah
onëhsa’	o nëhs a’
deyoeta’	de yo et a’
ëyododahsi’	ë yo dodahs i’
agadi’gyö’	ag adi’gyö ’
ke’gë’shö’öh	ke ’gë’ shö’öh
deyagwadënöde:’	de yagw adënöde :’
agyajoh	agy ajoh
waonöökdë’	wa o nöökdë ’
öknöhsodai’	ök nöhsodai ’
o’gawak	o’ g awak
onöni’da’gowah	o nöni’d a’ gowah
hodöön	ho döö n
wa’agwadënodönyö:’	wa’ agw adënodönyö :’
hadënota’	h adënot a’
yödeksowä’dahgwa’	yö deksowä’ dahgwa’
saënöjë:’	sa ënö jë :’
da’agajë:’	da’ ag ajë :’
genyohšot	ge nyohšot
ësninyohšodaje’sek	ë sni nyohšod aje’sek
sgat	sgat
niyohsodza’	ni yo hsodza ’
deyewë’geodahgwa’	de ye wë’geodahgw a’
ga’šohsa’	ga ’šohs a’
ëgyëse:’	ë g yëse :’
ëgëöyadek	ë gë öyade k
gaeyo’dza’	ga eyo’dz a’
wa’agoda’	wa’ ago da’
gashewë’da’	ga shewë’d a’
agadohsä’seh	ag adohsä’se h
sgënö’öh	s gë nö’öh
de’ostöh	de’ ost öh
oji’nöwö’	o ji’nöw ö’
niwa’s’ah	ni w a’s’ah
onösgwëödöh	o nösgwëödö h
agesënöswas	age sënöswa s
agyödih	ag yödi h
ho’wajë’gweodö:’	ho’ w ajë’gweodö :’
dewage’tsösta’	de wage ’tsöst a’
ga’nöwöhdas	ga ’nöwöhdas
gagoswa’geh	ga goswa’ geh
saganiyayë:’	sa ga niyayë :’
gatgwiä’geh	ga tgwi ä’ geh
ähdak	ähdak
heyönëdahgwa’	he yönë dahgw a’
oägwahda’	o ägwahd a’
ogë’öh	o gë’ öh
owëhde’	o wëhd e’
gaënödogëh	ga ënödogë h
goswe’nönöwös	go swe’nönöw ös
onegagi’	o negagi ’
hodinökdot	hodi nökdot
wa’esnye’šö’	wa’ e snye’šö ’
gowënitgë’öh	go wënitgë’ öh
gawënitgë’ö’	ga wënitgë’ ö’
ëtadisnye’t	ët adi snye’t
higë’	higë’
waënöet	wa ënöet
oi’shä’	o i’sh ä’
haihsönyöh	ha ihsönyö h
agesje’sä’geh	age sje’s ä’ geh
dewagowë’	de wag owë ’
adogwa’šowanëh	adogwa’šowanë h
yo’gëö’	yo’gëö’
ëyagohga:’	ë yag ohga :’
ëhsete’šyohga:’	ë hse te’šyohga :’
ëyonegitgëhsöök	ë yo negitgëhsö ök
dwadiyagë’s	dwadi yagë’ s
onya’sa’	o nya’s a’
dzo’kdagö’	dzo ’kdagö’
tšigähgöh	tši g ähg öh
wa’gohsodö’	w a’gohsodö ’
daja’tgwaihsi’	d aja’tgwaihs i’
dëyeda’t	dë ye da’ t
iget	i ge t
jedaje’s	j e d aje’s
tsa’gat	tsa’ ga t
gajihsö’dahsia’	ga jihsö’dahsia ’
wagadëyogwahdë’	wag adëyogwahd ë’
gi’jö’	g i’jö ’
ëtëni’jöda’k	ë tën i’jö da’k
hësgi’jöda’k	hës g i’jö da’k
aknösgwëh	ak nösg wëh
onödes	o nödes
hashëda’s	h ashëda’ s
haknö’is	hak nö’is
ëhsä’nëdak	ë hs ä’nëdak
ga’nhya’	ga ’nhy a’
otšinönösgä’	o tšinönösg ä’
dewawënyeh	de w awënye h
otgwisda’	o tgwisd a’
ogöhga’shä’	o göhga’sh ä’
sawënihë:’	sa w ënihë :’
saë’he’t	sa ë’he’ t
joë’hesta’	jo ë’hest a’
sadewadëh	s adewad ëh
godetgihdöh	go detgihdö h
de’gagä:’	de’ ga gä :’
hedogëh	he dogë h
odagwaihsöh	o dagwaihs öh
hënödayohse’	hënö dayohs e’
ögwaya’daniyehgöh	ögwa ya’daniyehg öh
ëyetšinö’dza’es	ë yetši nö’dza’es
otgöwö’sägi’	o tgöwö’sägi ’
onöwëhdöh	o nöwëhd öh
wade’jiata’he’t	w ade’jiata’he’ t
ha’hasde’	ha ’hasde ’
tsa’deyagi’hasde’	tsa’ de yagi ’hasde ’
o’jagwadogëh	o’j agwa dogë h
hwagödoda’t	h wa gödoda’t
gashesda’	ga shesda ’
ogösäse:’	o gösäse :’
jögwa’öh	jögwa’öh
agadiwayeösdöh	ag adiwayeösdö h
o’jogëhödi’	o’j o gëhödi ’
hwa’akinök	h wa’ ak inök
gähgwa:’	g ähgwa :’
awëdadogëhdöhgeh	aw ëdadogëhd öh geh
ho’gähgwë’t	ho’ g ähgwë’ t
wa’ökniwanägo’	wa’ ökn iwanägo ’
haisdi’šös	ha isdi’šö s
hëönegönën	hëö negönën
o’daiëshä’	o ’daiësh ä’
owänöe’	o wänöe ’
onöhwë’da’	o nöhwë’d a’
wëödenya’ta’	w ëödenya’t a’
högidës	hög idë s
wagidë:’	wag idë :’
asgidë:’	a sg idë :’
wahjawee’	wahjawe e’
wadi’sehdadahgo’	wadi ’sehda dahgo ’
gotwa’isdanö’	go twa’isdanö ’
dëyögwadadesnye:’	dë yögw adade snye :’
o’jögesnye:’	o’j öge snye:’
dëgesnye:’	dë ge snye :’
wa’ödënö’t	wa’ ö dënö’t
tsa’giwasdeis	tsa’ g iwasdeis
agega’tsöh	age ga’ts öh
hënödënö’dëöje’	hënö dënö’d ëöje’
haogwëh	ha og wëh
yedahgwa’	ye dahg wa’
ëtadiägwat	ët adi ägwat
dayökihe’	da yöki he’
segoh	se goh
wa’ego’	wa’ e go’
wadia’	wadi a’
ëöö’	ëö ö’
o’jagwatëönyö:’	o’j agwa tëönyö :’
ëöwöditahas	ë öwö ditahas
ëswënödi’sdaë’	ë s wënö di’sdaë’
jota:’	j o ta:’
degataha’	de ga taha’
nigaëes	ni ga ëes
gashenë’	ga shenë ’
oga’öshö’öh	o ga’ö shö’öh
ëyekdö:’	ë ye kdö :’
da’agekdö:’	da’ age kdö :’
ësgwayësdë’	ë sgwa yësdë ’
wa’ökiönyë’	wa’ ök iönyë ’
hajönyanih	ha jönyani h
niwadogwa’shä’ah	ni w adogwa’shä’ah
o’göowi’	o’ gö owi ’
wa’ökiowi’	wa’ öki owi ’
wa’akniowi’	wa’ akni owi ’
ëshatšonyanö:’	ë s h atšonyanö :’
satšonyanöh	s atšonyanö h
eyatšowi’	ey atšowi ’
ëyagwatšowi’	ë yagw atšowi ’
hëneyö’	h ëneyö ’
hakyönyanöh	hak yönyanö h
washëh	washëh
ëhsnegakdö:’	ë hs neg a kdö:’
sekdöh	se kdö h
o’höhsa’	o’ höhs a’
ehniwagwaihsi’	ehn iwagwaihs i’
o’jakinönyö:’	o’j aki nönyö :’
dëödinönyö:’	dë ödi nönyö :’
dënödënöönyöh	d ënö dënöönyö h
högwagwah	högwagwah
snö’nöwën	s nö’nöwë n
onëh	onëh
gyahda’geh	g yahd a’ geh
ho’nëyatëh	ho ’nëyatë h
joiwa’	j o iw a’
agweh	agwe h
wa’ë:’	wa’ ë :’
gënöhdönyöh	g ënöhdönyö h
ënënöhdönyök	ënë nöhdönyö k
sgae’	sgae’
sëh	sëh
onöni’da’	o nöni’d a’
nigawisdageh	ni ga wisdage h
yenya’sagöh	ye nya’s a göh
ëöwöehda’is	ë öwö ehda’is
wa’odi’	wa’ o di ’
oyöhgä:’	o yöhgä :’
geih	geih
ögwagonyës	ögwa gonyës
ho’gae’	ho’ ga e’
waeh	waeh
gaisdatgos	ga isdatgo s
niyu’uh	ni yu’ uh
waatsën	wa atsën
niahsënot	ni a hsënot
kyagwiyä’	k yagwiy ä’
niwënödih	ni wënö di h
oyakaö’	o yakaö ’
so’jih	so’jih
gaëgëyat	ga ëgëyat
ayoiwadaje’	a yo iwad aje’
o’jeksa’da:’	o’j e ksa’da :’
dešeönyöh	de š eönyö h
o’tšeönyö:’	o’t š eönyö :’
ha’dayeönyö:’	ha’dayeönyö :’
eodiya’daniyöök	eodi ya’daniy öök
higëgwah	higëgwah
wënötöwisas	wënö töwisas
atganye’shä’	atganye’sh ä’
dewagadadawih	de wag adadawi h
ga’sehdayanowe’	ga ’sehda y anowe’
degwënö’sägwas	de g wënö’sägwas
aknösde’	ak nösde ’
hëöja’s	hë öja’s
gäida’geh	g äida’ geh
gaiwagwëniyo’	gaiwagwëniyo’
sadënö’geät	s adënö’geät
waakdö:’	wa a kdö :’
ëökdö:’	ë ö kdö :’
dënö’ëniyas	d ënö ’ëniya s
wayatwadase’	wa y atwadase ’
watgaëgo’	wa tgaëgo ’
dödadihsadeni’	död adihsadeni’
jodägwëh	j o dägwëh
ëye’nigöëgaëgo’	ë ye ’nigöëgaëgo ’
honyahdëh	ho nyahdëh
dasgeowë’	dasgeowë’
deknih	deknih
dewë’nya’eh	dewë’nya’eh
tonë’neo’k	t on ë’neo’k
o’go’soägo’	o’ g o’soägo ’
sa’nigöëyëda’s	sa ’nigöëyëda’s
esa’nigöëyëda’t	e sa ’nigöëyëda’t
nö’göka:’	nö’göka:’
onösä’ah	o nösä’ ah
niahsöhgäs’ah	ni a hsöhgäs’ah
he’tgëgwah	he’tgëgwah
i:’	i:’
hëyago’kdahgwak	hë yag o’kdahgwak
dëyotwe’nöniak	dë yo twe’nöniak
eotäk	eo täk
waotganya’gak	wa o tganya’gak
hënöjä’dahgwa’	hënö jä’dahgwa’
ëyojä’dahgöök	ë yo jä’dahgöök
hojä’döje’	ho jä’döje’
dwayä’ta’	d wa yä’t a’
de’wadesta’	de’ w adest a’
yöwëödahgwa’	yö wëödahgw a’
hodijigwës	hodi jigwës
ähdak	ähdak
o’öhsa’	o ’öhs a’
wa’ogë’te’t	wa’ o gë’te’ t
hagyö’seh	hag yö’se h
ëhsatši’gwato’	ë hs atši’gwato ’
sadiöganya’k	s adi öganya’k
o’tënöde’säë’	o’t ënö de’sä ë’
dehšya’ja’göh	de hš ya’ja’g öh
wa’eyeh	wa’ e ye h
hohso’gane’	ho hso’gane ’
ögweh	ögwe h
dagatak	da g atak
gëhsagöh	gë hs agöh
ojisda’geh	o jisd a’ geh
wënödasganekönyöh	wënö dasganekönyö h
deyagodöëdzonih	de yago döëdzoni h
o’tonödöëdzos	o’t onö döëdzos
ëgadiyoshä’	ë g adiyosh ä’
ësganenönyö:’	ë s ga nenönyö :’
sayo’daiëh	sa yo ’daië h
hodisgë’ëgehda’	hodi sgë’ëgehd a’
sadëhsi’dowaeh	s adëhsi’dowae h
ëhsnowae’	ë hs nowae ’
ögwatši’wa:’	ögwa tši’wa :’
ögatši’waë’	ög atši’waë ’
ëhsatši’wato’	ë hs atši’wato ’
ha’dadigane:’	ha’ dadi gane:’
agatgaëö’	ag atgaëö ’
ëjatgaëö’	ëj atgaëö ’
ëhsatgaëök	ë hs atgaëö k
tganegiyosta’geh	t ga negiyost a’ geh
wa’öde’sgo’	wa’ ö de’sgo ’
agedzëöh	age dzëöh
onega’geh	o neg a’ geh
agëdöh	ag ëdöh
de’o’dëh	de’ o’dë h
gadageeyös	ga dageey ös
hënödiyosdahgwa’	hënö diyosdahgw a’
heyöjä’ta’	he yö jä’t a’
hodisdowëö’	hodi sdowëö ’
ogeo’dza’geh	o geo’dz a’ geh
dëjihnyadadegë’	dëji hny adadegë ’
deyaögoh	de ya ögo h
nö’geyëno’dë’he’t	nö’ ge yëno’dë’he’ t
o’nisgä:’	o ’nisgä :’
gaweh	gaweh
nö’we:’	nö’we:’
onögä:’	o nögä :’
onëögën	o nëögën
hanyö’öh	ha nyö’ö h
ga’sgwägëën	ga ’sgwägëën
tšiša’dagwegöh	tši š a’dagweg öh
ei’	ei’
hadinyo:’	hadi nyo :’
otgwenyöh	o tgwenyö h
niwatgwenyös	ni w atgwenyös
o’gadë’nea’	o’ g adë’nea ’
osgowehdöh	o sgowehd öh
wa’egaehdawak	wa’ e gaehdawak
oshägwegöh	o shägweg öh
hägöewas	h ägöew as
dewagadënön	de wag ad ënön
honötgö’shö’öh	honö tgö ’ shö’öh
yeöh	ye ö h
tšiwadiwajiyägeö’	tši w ad iwa jiyä geö’
tehdoö’	tehdoö ’
o’gaiwë’t	o’ ga iwë’ t
heyodiwinöh	he yo diwin öh
de’swagajo’dadö:’	de’ s wag ajo’dad ö:’
wagyöyagë’t	wag yöyagë’t
ögwaio’de’	ögwa io’de ’
gahgwasta’	g ahgwast a’
dëyadajenö:’	dë y adajenö :’
os’ohda’hön	o s’ohda ’hön
hayadö:’	ha yadö :’
watähgwë’gwata’	w atähgwë’gwat a’
ëh	ëh
haksa’dase’ah	ha ksa’dase ’ah
tšigögwe’dase:’	tši gö gwe’dase :’
höwëdës	höwëdës
niyowe’	ni yowe ’
dëdwaganëgöh	d ë dwa ganëgö h
o’ënöeta’	o’ ë nöet a’
o’wajowi’	o’ w ajowi ’
swadiwahdëja’ta’	sw ad iwa hdëja’t a’
aesknigë’	ae sk nigë ’
ëhnënö’geät	ë hn ënö’geä t
wa’agwadekönyanö’	wa’ agw adekön yanö ’
ho’gat	h o’ g a t
igya’s	i gy a’ s
hiyëdeih	hi yëdei h
ësnowae’	ë s nowae ’
aehnidë:’	ae hn idë :’
aknyadöh	a knyadö h
o’watak	o ’w ata k
deodinösde’	d eodi nösde ’
shagoawi’	shago awi ’
ëwötganya’t	ë wö tganya’ t
dëwötak	d ë wö ta k
wa’ago’nigöetgë’t	wa’ ago ’nigö etgë’ t
ëgadawë’	ë g adawë ’
wa’onötgato’	wa’ onö tgato ’
wa’odigayëh	wa’ odi gayë h
dëyötak	d ë yö ta k
niyono’sgägeh	ni yo no’sgä geh
höwöya’dagwëniyosdöh	höwö ya’d ag wëniyosdö h
ëyatganye:’	ë y atganye :’
o’geyë’he’t	o’ ge yë’ he’ t
esgwashe:’	e sgwa she :’
hagönöe’öh	hagö nöe’ öh
watganya’ta’	w atganya’t a’
ësgänye:’	ë s g änye :’
ëödigo’	ë ödi g o’
wa’ökninöe’t	wa’ ök ninöe’ t
ayaknishe:’	a yakni she :’
sajä’dak	s ajä’da k
hane’sek	h a n e’s ek
agwanöhsot	agwa nöhsot
agadöišöhgöh	aga döišöhg öh
ëjidwayëtwashö’	ë ji dwa yë twa shö ’
ga’sgöwö’	ga ’sgöw ö’
ayögwënöhdök	a yögw ënöhdö k
o’snidë:’	o’ sni dë :’
gahadot	ga hadot
ayögidë:’	a yög idë :’
asegwa’	a se gwa ’
hagowanës	ha gowanë s
nitgade’	ni t ga de ’
aënödiwatödat	a ënö d iwa tödat
ëyagwajë:’	ë yagwa jë :’
wa’agwëdzoyak	wa’ agw ëdzoya k
nigyëdiak	ni g yëdia k
o’jakninönyö:’	o’ j akni nönyö :’
deodisnyenö’	d eodi snyenö ’
aeshedwashe:’	ae shedwa she :’
ëwënödahset	ë wënö d ahse t
wa’ehodö:’	wa’ e hodö :’
ësnië’	ë sni ë ’
gajeä’ta’	ga jeä’t a’
ëšadö’	ë š adö ’
ökyowih	öky owi h
akeninö’s	a ke ninö ’s
ëyades’a:’	ë y ades’ a:’
aöwöyëdei’	a öwö yëdei ’
owë’öje’	o wë’ö je ’
dohga:’ah	dohga:’ah
oyëdedöje’	o yëded ö je’
awadihšöni’	a wadi hšöni ’
dadaiwayeis	d ada iwa yeis
ayaknyatgweni’	a yakny at gweni ’
’nigëöwënye:’	’nigëö wënye :’
dawadiya’dowet	da wadi ya’dowet
ëwögida’	ë wögi da ’
ahsata’dö:’	a hs ata’dö :’
o’gyatga’	o’ gy atga ’
wadiwisdo’yak	w adi wisd o’yak
ësgyësdë’	ë s g yësdë ’
dayagyadiak	d a yagya di ak
saganöhe’t	sa ga nöhe’t
höwöya’dagehas	höwö ya’d a gehas
wa'aknyatšonyanö:’	wa' akny atšony anö :’
agatgato’	a g atgat o’
wa’edzagö’	wa’ e dzagö ’
tga’sgweodö’	t ga ’sgweodö ’
dëwödiyenö:’	d ë wödi yenö :’
ëhsešnye’t	ë hse šnye’ t
wadiyeä’dak	w adi yeä’dak
wayade’nöhdäh	wa y ade’nöhdä h
akninösgo’	a kni nösg o’
niyo’dëök	ni y o’dë ök
dëöwödiyenö:’	d ë öwödi yenö :’
wënöta’dös	wënö ta’dö s
dawadetgit	d a w adetgit
awadaödö:’	a w ada ödö :’
oiwa’	o iwa ’
ëgoowi’	ë go owi ’
o’tšahsëto’	o’ tš ahsët o’
ësnihodö:’	ë sni hodö :’
ëödiyëto’	ë ödi yëto ’
o’sheswaya’dageha’	o’ sheswa ya’d a geha ’
waiya’k	w a iya’ k
dwadigëhjishö’öh	dwa di gëhji shö’öh
sahdëje’s	sa hdëje’ s
gowëh	go wë h
ëtkeyawi’	ë t ke y awi ’
waögya’dageha’	wa ög ya’d a geha ’
dayatgëh	d a y atgë h
yewajiyäyë’	ye wajiyä yë’
ëhnidë:’	ë hn idë :’
akniadö:’	a kni adö :’
hadojas	h adojas
dëwënöhsëto’	d ë wënö hsët o’
wajënöni’	w ajënöni ’
hojëösgö’	ho jëösgö ’
dewajisdöh	de w ajisdö h
swaya’s	swa ya’ s
ëswatowät	ë swa towät
awënödahset	a wënö dahset
o’tkninöönyö:’	o’ t kni nöö nyö :’
hodinonö’ëh	hodi nonö’ë h
aöwëdë:’	a öwë dë :’
nëdah	nëdah
tayaknigë	t a yakni gë ’
dwadojas	dwa dojas
dehnidenyös	d e hni denyö s
wonida’	w oni da ’
ësëniso’	ë s ëniso ’
aënödënodë’	a ënö dënod ë’
waehša’dageha’	wa ehš a’d a geha ’
oa’da’	o a’da ’
oga’öhšöh	o ga’öhšö h
waönöhsës	wa ö nöhsë s
wa’onödi’	wa’ onö di ’
jögwahdëjös’öh	j ögw ahdëjös’ öh
waöwënidë:’	wa öwën idë :’
nö’dedwade’	n ö’ de dwa de ’
dayagyadiak	d a yagya di ak
howöowih	howö owi h
hadiashëö’	hadi ashë ö’
ayodiya’dageha’	a yodi ya’d a geh a’
ëgadešönyanö’	ë g ade šön yanö ’
dogwa’	dogwa ’
ëwënödawë’	ë wënö dawë ’
ëöyö’	ëö yö ’
dëša’dowet	d ë š a’d owe t
ëgiwaies	ë g iwa ies
esnyahsawë’	e sny ahsawë ’
aënödeyës	a ënö deyës
wanösgo’	w a nösg o’
ëhse’nikönyö:’	ë hse ’nikö nyö :’
hösaya’dagehas	hösa ya’d a geh as
ëhniyënëda’t	ë hni yënëda’ t
ödawënödawën	öda wënö dawën
aedwatgweni’	ae dw at gweni ’
ösayeyagë’t	ösa ye yagë’t
to’nyöda’döh	t o ’nyöda’d öh
agwashe:’	agwa she :’
knöwö’s	k nöwö’s
ëdwata’dö:’	ë dw ata’dö :’
oyë’he’öh	o yë’he’ öh
